date,Medicine,Tablets,Pharmaceutical drugs,COVID-19 vaccine,Insurance plan,Vitamins online,Immune booster,Physician,Netcare,mediclinic
2020-04-07,27,81,0,0,0,0,0,0,30,43
2020-04-08,21,75,0,0,0,0,0,0,60,37
2020-04-09,23,73,0,0,0,0,0,0,47,30
2020-04-10,28,67,0,0,0,0,0,0,16,21
2020-04-11,22,70,0,0,0,0,0,0,19,24
2020-04-12,21,67,0,0,0,0,0,0,17,22
2020-04-13,28,81,0,0,0,0,0,0,18,19
2020-04-14,32,63,0,0,0,0,0,0,27,91
2020-04-15,32,85,0,0,0,0,0,0,56,100
2020-04-16,29,79,0,0,0,0,0,0,51,56
2020-04-17,25,78,0,0,0,0,0,0,43,46
2020-04-18,28,82,0,0,0,0,0,0,21,28
2020-04-19,29,66,0,0,0,0,0,0,21,21
2020-04-20,28,75,6,0,0,0,0,0,42,32
2020-04-21,30,71,0,0,0,0,0,0,43,31
2020-04-22,23,69,0,0,0,0,0,0,26,37
2020-04-23,27,77,0,0,0,0,0,0,27,50
2020-04-24,27,73,0,0,0,0,0,0,21,42
2020-04-25,25,80,0,0,0,0,0,0,19,22
2020-04-26,33,72,0,0,0,0,0,0,14,14
2020-04-27,28,80,0,0,0,0,0,12,21,20
2020-04-28,35,83,0,0,0,0,0,0,27,32
2020-04-29,27,73,0,0,0,0,0,0,19,35
2020-04-30,21,78,0,0,0,0,0,0,24,29
2020-05-01,25,74,0,0,0,0,0,0,14,33
2020-05-02,29,85,0,0,0,0,0,0,18,20
2020-05-03,35,69,0,0,0,0,14,0,21,26
2020-05-04,28,74,0,0,0,0,13,0,31,55
2020-05-05,27,76,0,0,0,0,0,0,35,41
2020-05-06,27,76,0,0,0,0,0,0,37,46
2020-05-07,25,67,0,0,0,0,0,0,30,38
2020-05-08,26,71,0,0,0,0,0,0,21,33
2020-05-09,25,84,0,0,0,0,0,0,15,21
2020-05-10,31,69,0,0,0,0,0,0,15,14
2020-05-11,33,74,0,0,0,0,0,0,38,52
2020-05-12,29,86,0,0,0,0,0,0,32,34
2020-05-13,29,78,0,0,0,0,0,0,29,24
2020-05-14,22,66,0,0,0,0,0,11,36,39
