date,Dog Food,Puppies for Sale,Pet shop
2021-09-15,30,44,0
2021-09-16,30,48,0
2021-09-17,27,47,0
2021-09-18,28,60,0
2021-09-19,21,51,0
2021-09-20,50,49,0
2021-09-21,45,29,0
2021-09-22,46,29,0
2021-09-23,36,34,0
2021-09-24,33,55,0
2021-09-25,50,61,0
2021-09-26,29,52,0
2021-09-27,37,57,0
2021-09-28,33,18,0
2021-09-29,30,26,0
2021-09-30,45,38,0
2021-10-01,33,49,0
2021-10-02,39,67,0
2021-10-03,36,41,0
2021-10-04,33,47,0
2021-10-05,30,59,0
2021-10-06,39,58,0
2021-10-07,37,42,0
2021-10-08,28,44,0
2021-10-09,39,57,0
2021-10-10,32,57,0
2021-10-11,20,36,0
2021-10-12,48,45,0
2021-10-13,31,51,16
2021-10-14,38,35,0
2021-10-15,52,53,0
2021-10-16,40,44,0
2021-10-17,21,55,0
2021-10-18,29,46,0
2021-10-19,26,50,0
2021-10-20,37,42,0
2021-10-21,37,47,0
2021-10-22,32,52,0
2021-10-23,38,49,0
2021-10-24,31,42,0
2021-10-25,53,34,0
2021-10-26,35,46,0
2021-10-27,29,28,0
2021-10-28,42,43,0
2021-10-29,31,45,0
2021-10-30,40,40,0
2021-10-31,31,62,0
2021-11-01,35,62,0
2021-11-02,29,31,0
2021-11-03,42,31,0
2021-11-04,39,42,0
2021-11-05,25,45,0
2021-11-06,22,61,0
2021-11-07,23,67,0
2021-11-08,28,41,0
2021-11-09,20,40,0
2021-11-10,38,32,0
2021-11-11,18,47,0
2021-11-12,34,35,0
2021-11-13,28,74,0
2021-11-14,31,72,0
2021-11-15,29,45,0
2021-11-16,25,50,0
2021-11-17,31,41,0
2021-11-18,21,20,0
2021-11-19,37,50,0
2021-11-20,16,56,0
2021-11-21,30,61,0
2021-11-22,39,42,0
2021-11-23,42,50,14
2021-11-24,41,35,0
2021-11-25,48,33,0
2021-11-26,35,50,0
2021-11-27,35,48,0
