date,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks
2020-01-10,10,3,33,0,26,76,0,0,0,4
2020-01-11,6,3,19,0,16,56,0,0,0,0
2020-01-12,5,3,15,0,12,63,0,0,0,0
2020-01-13,11,4,32,0,23,85,0,0,0,6
2020-01-14,11,4,35,0,24,87,0,0,0,4
2020-01-15,12,3,35,0,23,81,0,0,0,3
2020-01-16,10,4,33,0,26,82,0,0,0,4
2020-01-17,10,4,33,0,24,69,0,0,0,4
2020-01-18,7,3,20,0,14,53,0,0,0,5
2020-01-19,5,2,17,0,12,42,0,0,0,0
2020-01-20,11,3,31,0,26,80,0,0,0,0
2020-01-21,11,3,35,0,24,66,0,0,0,4
2020-01-22,10,3,31,0,22,72,0,0,0,4
2020-01-23,10,4,32,0,23,68,0,0,0,0
2020-01-24,14,4,40,0,30,68,0,0,0,6
2020-01-25,10,4,25,0,20,56,0,0,0,0
2020-01-26,7,3,19,0,13,44,0,0,0,0
2020-01-27,14,4,42,0,29,78,0,0,0,0
2020-01-28,14,5,43,0,30,77,0,0,0,6
2020-01-29,12,5,38,0,28,80,0,0,0,6
2020-01-30,14,4,41,0,30,82,0,0,0,3
2020-01-31,18,5,50,0,34,78,0,0,0,0
2020-02-01,12,5,34,0,22,62,0,0,0,0
2020-02-02,8,3,25,0,17,52,0,0,0,0
2020-02-03,14,5,44,0,31,88,0,0,0,4
2020-02-04,14,5,40,0,32,86,0,0,0,5
2020-02-05,12,5,33,0,35,72,0,0,0,5
2020-02-06,12,4,33,0,34,76,0,0,0,5
2020-02-07,13,4,33,0,39,66,0,0,0,0
2020-02-08,7,3,21,0,100,49,0,0,0,0
2020-02-09,6,4,17,0,98,49,0,0,0,0
2020-02-10,11,4,33,0,40,77,0,0,0,5
2020-02-11,11,3,32,0,37,72,0,0,0,0
2020-02-12,11,4,33,0,26,73,0,0,0,3
2020-02-13,11,4,30,0,25,63,0,0,0,4
2020-02-14,13,4,35,0,28,54,0,0,0,4
2020-02-15,8,3,24,0,20,49,0,0,0,4
2020-02-16,6,3,18,0,14,44,0,0,0,0
2020-02-17,13,4,34,0,25,77,0,0,0,0
2020-02-18,11,4,30,0,23,63,0,0,0,5
2020-02-19,12,4,29,0,21,63,0,0,0,4
2020-02-20,12,4,34,0,26,62,0,0,0,4
2020-02-21,12,4,33,0,33,56,0,0,0,9
2020-02-22,7,2,20,0,89,44,0,0,0,0
2020-02-23,6,3,19,0,50,42,0,0,0,0
2020-02-24,13,4,35,0,37,64,0,0,0,5
2020-02-25,18,5,48,0,36,74,0,0,0,0
2020-02-26,16,5,41,0,31,74,0,0,3,4
2020-02-27,18,4,45,0,31,73,0,0,0,4
2020-02-28,21,5,52,0,37,71,0,0,0,5
2020-02-29,11,5,32,0,22,49,0,0,0,0
2020-03-01,9,4,24,0,18,57,0,0,0,0
2020-03-02,16,5,46,0,31,89,0,0,0,5
2020-03-03,16,5,42,0,32,87,0,0,0,5
2020-03-04,13,4,39,0,27,80,0,0,0,5
2020-03-05,12,3,35,0,26,70,0,0,0,4
2020-03-06,12,4,35,0,27,64,0,0,0,6
2020-03-07,7,3,21,0,21,44,0,0,0,4
2020-03-08,6,2,17,0,15,45,0,0,4,0
2020-03-09,12,4,33,0,26,73,0,0,0,6
2020-03-10,10,4,32,0,25,67,0,0,0,6
2020-03-11,11,3,31,0,22,58,0,0,0,5
2020-03-12,11,3,30,0,22,59,0,0,0,9
2020-03-13,11,3,35,0,32,55,0,0,0,9
2020-03-14,7,3,21,0,65,46,0,0,0,6
2020-03-15,6,2,17,0,35,41,0,0,0,5
2020-03-16,11,3,31,0,24,56,0,0,0,10
2020-03-17,12,3,33,0,23,59,0,0,0,9
2020-03-18,11,3,33,0,25,68,0,0,0,7
2020-03-19,11,5,34,0,24,66,0,0,0,11
2020-03-20,12,4,32,0,25,64,0,0,0,6
2020-03-21,7,3,19,0,17,42,0,0,0,5
2020-03-22,5,2,30,0,12,55,0,0,0,6
2020-03-23,11,4,44,0,29,65,0,0,0,8
2020-03-24,16,6,55,0,36,76,0,0,0,7
2020-03-25,18,6,60,0,46,76,0,0,0,3
2020-03-26,21,6,56,0,38,54,0,0,0,6
2020-03-27,12,4,32,0,23,46,0,0,0,6
2020-03-28,9,4,21,0,18,35,0,0,0,4
2020-03-29,6,3,20,0,16,40,0,0,0,7
2020-03-30,13,5,42,0,29,58,0,0,0,6
2020-03-31,16,6,52,0,32,65,0,0,0,8
2020-04-01,14,5,41,0,28,62,0,0,0,5
2020-04-02,12,5,37,0,26,52,0,0,0,6
2020-04-03,12,4,32,0,22,49,0,0,0,6
2020-04-04,7,4,18,0,14,34,0,0,0,6
2020-04-05,6,2,16,0,11,35,0,0,0,4
2020-04-06,9,4,31,0,22,52,0,0,0,9
2020-04-07,9,4,31,0,21,50,0,0,0,7
2020-04-08,8,4,29,0,20,44,0,4,0,7
2020-04-09,8,4,29,0,19,48,0,0,0,8
2020-04-10,7,3,19,0,15,38,0,0,0,5
2020-04-11,5,3,17,0,15,36,0,0,0,5
2020-04-12,4,3,13,0,10,32,0,0,0,4
2020-04-13,5,3,17,0,14,38,0,0,0,6
2020-04-14,9,5,36,0,27,80,0,0,0,10
2020-04-15,11,18,35,0,24,73,0,0,0,8
2020-04-16,10,9,34,0,24,64,0,0,0,6
2020-04-17,10,5,32,0,23,57,0,0,0,5
2020-04-18,6,3,18,0,15,39,0,0,0,6
2020-04-19,5,3,15,0,11,35,0,0,0,4
2020-04-20,12,4,35,0,26,60,0,0,0,15
2020-04-21,11,4,30,0,26,56,0,0,0,9
2020-04-22,13,4,31,0,23,60,0,0,0,8
2020-04-23,12,5,31,0,22,52,0,0,0,4
2020-04-24,17,7,43,0,29,61,0,0,0,7
2020-04-25,14,6,28,0,21,48,0,0,0,6
2020-04-26,9,4,20,0,14,40,0,0,0,6
2020-04-27,11,5,28,0,17,43,0,0,0,7
2020-04-28,18,7,44,0,29,61,0,0,0,8
2020-04-29,19,6,43,0,28,58,0,0,0,4
2020-04-30,21,6,48,0,32,59,0,0,0,6
2020-05-01,15,7,31,0,21,47,0,0,0,4
2020-05-02,13,6,28,0,20,44,0,0,0,4
2020-05-03,9,4,21,0,16,35,0,0,0,4
2020-05-04,17,6,43,0,30,61,0,0,0,6
2020-05-05,15,5,39,0,26,59,0,0,0,7
2020-05-06,14,5,36,0,25,57,0,0,0,6
2020-05-07,13,5,34,0,25,51,0,0,0,6
2020-05-08,11,4,31,0,21,48,0,0,0,6
2020-05-09,8,3,19,0,15,44,0,0,0,3
2020-05-10,6,3,16,0,11,33,0,0,0,5
2020-05-11,11,5,35,0,22,54,0,0,0,5
2020-05-12,11,5,32,0,21,57,0,0,0,5
2020-05-13,10,5,29,0,20,62,0,0,0,5
2020-05-14,11,4,30,0,20,54,0,0,0,8
2020-05-15,12,4,38,0,22,49,0,0,0,4
2020-05-16,7,3,19,0,16,43,0,0,0,7
