date,We Buy Cars,AutoTrader,Toyota,BMW,Mercedes Benz,Cars for Sale,Hyundai,Volkswagen Polo,Cars,Renault Kiger
2020-02-27,22,28,77,73,26,23,32,0,74,0
2020-02-28,26,29,76,65,26,21,31,0,74,0
2020-02-29,22,29,63,67,24,20,28,0,68,0
2020-03-01,23,29,73,70,26,23,23,2,78,0
2020-03-02,29,26,76,68,25,23,31,0,81,0
2020-03-03,29,26,77,67,29,24,29,0,75,0
2020-03-04,26,27,80,71,27,25,31,2,84,0
2020-03-05,19,25,79,71,24,25,29,0,77,0
2020-03-06,27,33,79,71,25,23,28,2,75,0
2020-03-07,26,31,74,73,26,25,28,0,77,0
2020-03-08,22,29,77,73,25,26,23,2,77,0
2020-03-09,29,27,83,67,27,26,27,2,83,0
2020-03-10,27,25,85,71,24,26,29,0,76,0
2020-03-11,28,24,86,67,24,28,32,2,82,0
2020-03-12,28,28,76,65,27,24,27,0,73,0
2020-03-13,24,25,77,72,29,23,27,0,77,0
2020-03-14,27,30,82,79,33,28,28,0,81,0
2020-03-15,23,24,78,67,25,26,23,0,78,0
2020-03-16,25,26,67,52,26,22,25,0,67,0
2020-03-17,25,27,74,63,24,25,26,0,75,0
2020-03-18,29,26,76,66,27,27,27,2,82,0
2020-03-19,28,24,74,66,26,23,26,0,75,0
2020-03-20,26,27,78,72,24,22,28,0,74,0
2020-03-21,27,28,73,80,27,24,24,0,85,0
2020-03-22,27,31,69,70,23,30,21,0,82,0
2020-03-23,22,19,65,53,19,16,20,2,60,0
2020-03-24,19,20,63,53,18,17,17,0,59,0
2020-03-25,13,17,49,55,19,16,15,0,56,0
2020-03-26,13,16,52,53,18,15,15,0,50,0
2020-03-27,13,16,51,49,19,17,15,0,52,0
2020-03-28,15,20,48,50,21,21,12,2,58,0
2020-03-29,12,25,52,63,20,22,13,0,64,0
2020-03-30,12,24,54,57,15,20,14,2,61,0
2020-03-31,15,25,54,59,19,24,16,0,65,0
2020-04-01,14,20,59,59,22,22,16,0,64,0
2020-04-02,16,21,56,57,25,24,12,0,66,0
2020-04-03,13,25,58,62,24,22,12,0,64,0
2020-04-04,11,24,60,65,27,22,11,0,65,0
2020-04-05,11,24,54,61,21,24,14,0,62,0
2020-04-06,13,21,55,60,20,23,14,0,63,0
2020-04-07,11,24,51,62,22,22,12,0,58,0
2020-04-08,16,24,55,61,23,23,15,0,66,0
2020-04-09,11,21,56,57,23,21,14,0,59,0
2020-04-10,12,22,51,63,24,22,12,0,56,0
2020-04-11,13,23,56,64,26,23,14,0,61,0
2020-04-12,12,27,58,72,23,24,14,0,69,0
2020-04-13,13,19,57,66,29,24,16,0,67,0
2020-04-14,13,20,53,62,26,23,15,0,62,0
2020-04-15,14,21,52,64,25,19,13,0,58,0
2020-04-16,15,20,57,65,21,23,14,0,62,0
2020-04-17,9,21,55,63,20,21,14,0,60,0
2020-04-18,13,26,65,67,22,24,17,0,70,0
2020-04-19,15,27,59,70,22,23,13,0,66,0
2020-04-20,14,23,57,62,21,21,15,0,64,0
2020-04-21,12,21,59,57,24,21,11,0,54,0
2020-04-22,16,22,56,59,20,21,14,0,60,0
2020-04-23,11,22,53,60,24,19,15,0,51,0
2020-04-24,14,25,59,57,23,22,13,0,62,0
2020-04-25,15,24,60,67,25,27,14,0,68,0
2020-04-26,16,25,58,68,27,29,18,0,74,0
2020-04-27,16,25,63,60,23,22,14,0,64,0
2020-04-28,14,22,57,56,21,22,13,0,61,0
2020-04-29,13,17,54,58,21,23,16,0,61,0
2020-04-30,11,19,56,59,20,22,17,2,57,0
2020-05-01,18,22,59,69,25,22,18,0,63,0
2020-05-02,15,23,67,69,24,22,18,0,65,0
2020-05-03,14,21,58,69,23,25,14,0,68,0
2020-05-04,16,19,61,59,25,18,20,0,61,0
2020-05-05,16,21,62,68,23,22,20,0,60,0
2020-05-06,12,24,64,64,22,19,20,0,58,0
2020-05-07,14,21,62,65,22,21,17,0,60,0
2020-05-08,12,23,61,67,21,20,21,0,55,0
2020-05-09,15,27,66,72,24,24,18,0,74,0
2020-05-10,12,26,58,65,23,27,18,0,63,0
2020-05-11,17,19,64,68,26,25,18,0,65,0
2020-05-12,16,23,74,72,27,22,21,0,65,0
2020-05-13,19,23,67,58,25,23,21,0,64,0
2020-05-14,24,28,69,69,24,23,22,0,72,0
